stay_length,lead_time,adr,hotel,is_canceled,is_repeated_guest,arrival_date_month,is_parking_required
5,21,174.0,City Hotel,1,0,April,0
7,100,125.0,City Hotel,0,0,August,0
3,87,69.53,City Hotel,0,0,October,0
9,136,188.0,Resort Hotel,0,0,July,1
4,115,88.2,Resort Hotel,0,0,May,0
1,1,170.0,City Hotel,0,0,July,0
3,78,24.94,Resort Hotel,0,0,November,0
3,42,62.8,City Hotel,0,0,March,0
4,60,174.0,Resort Hotel,0,0,July,0
2,61,120.6,City Hotel,1,0,September,0
3,13,80.0,City Hotel,0,0,March,0
2,23,72.0,Resort Hotel,1,0,December,0
4,193,117.0,City Hotel,1,0,April,0
10,152,81.8,Resort Hotel,0,0,September,0
4,245,80.0,Resort Hotel,0,0,September,0
5,179,139.0,City Hotel,0,0,August,0
1,2,75.0,Resort Hotel,0,1,June,0
3,44,74.1,Resort Hotel,1,0,February,0
3,96,138.0,City Hotel,0,0,May,0
4,67,90.1,City Hotel,0,0,February,0
4,34,81.16,Resort Hotel,0,0,April,0
7,29,77.5,Resort Hotel,0,0,April,0
7,37,87.78,City Hotel,0,0,October,0
4,11,69.5,City Hotel,0,0,January,0
4,13,81.0,Resort Hotel,0,0,November,1
4,233,130.6,City Hotel,1,0,May,0
1,53,153.0,Resort Hotel,0,0,July,1
2,108,148.5,City Hotel,0,0,April,0
3,139,118.8,City Hotel,1,0,October,0
8,120,31.59,Resort Hotel,1,0,February,0
7,143,165.0,Resort Hotel,1,0,August,0
3,59,122.4,City Hotel,1,0,December,0
4,86,221.18,City Hotel,0,0,October,0
3,62,135.0,City Hotel,1,0,August,0
3,11,227.0,Resort Hotel,0,0,August,0
1,35,89.1,City Hotel,1,0,June,0
2,3,34.0,Resort Hotel,0,0,February,0
4,365,66.0,Resort Hotel,0,0,October,0
6,172,116.1,City Hotel,1,0,July,0
4,88,72.25,City Hotel,0,0,April,0
4,103,132.25,City Hotel,0,0,December,0
1,7,95.0,Resort Hotel,0,0,April,1
5,119,126.0,City Hotel,0,0,June,0
11,19,34.4,Resort Hotel,0,0,January,0
4,22,43.5,City Hotel,0,0,December,0
1,143,85.5,City Hotel,0,0,August,0
1,144,93.6,City Hotel,1,0,January,0
3,80,75.0,City Hotel,0,0,December,0
4,10,79.0,City Hotel,1,0,November,0
7,87,36.22,Resort Hotel,0,0,April,0
3,75,128.7,City Hotel,0,0,April,1
3,115,65.0,Resort Hotel,0,1,March,0
2,81,90.0,City Hotel,0,0,May,0
1,3,48.0,Resort Hotel,0,0,December,0
9,74,145.56,City Hotel,1,0,July,0
1,1,70.0,Resort Hotel,0,1,March,0
7,121,48.18,Resort Hotel,0,0,May,0
12,148,189.5,Resort Hotel,1,0,September,0
4,5,106.0,City Hotel,0,0,February,0
2,2,60.0,Resort Hotel,0,0,February,1
1,23,188.0,City Hotel,0,0,December,0
3,84,142.2,City Hotel,0,0,March,0
1,7,107.0,City Hotel,0,0,May,0
2,5,170.0,City Hotel,0,0,May,0
4,43,74.8,City Hotel,1,0,January,0
3,71,108.0,City Hotel,0,0,October,0
3,152,65.7,Resort Hotel,0,0,May,0
2,2,55.0,Resort Hotel,0,1,February,0
9,198,62.56,Resort Hotel,1,0,October,0
9,221,129.4,City Hotel,0,0,June,0
2,194,94.25,City Hotel,0,0,October,0
3,93,113.4,City Hotel,0,0,October,0
7,186,49.17,Resort Hotel,1,0,October,0
1,6,65.0,City Hotel,0,1,October,0
2,192,113.4,City Hotel,0,0,August,0
5,104,130.5,City Hotel,1,0,April,0
4,63,93.6,City Hotel,0,0,November,0
1,50,189.9,City Hotel,1,0,July,0
1,8,184.0,City Hotel,0,0,September,0
3,174,153.9,City Hotel,0,0,July,0
3,35,81.9,City Hotel,1,0,March,0
2,314,62.0,City Hotel,1,0,August,0
2,115,108.0,City Hotel,0,0,June,0
1,58,126.0,City Hotel,1,0,April,0
4,179,105.5,Resort Hotel,0,0,July,0
4,60,142.0,Resort Hotel,0,0,April,0
4,2,91.8,City Hotel,0,0,February,0
7,141,194.14,Resort Hotel,0,0,May,0
7,3,36.4,Resort Hotel,0,0,November,0
3,289,80.1,Resort Hotel,1,0,May,0
9,199,94.5,City Hotel,1,0,October,0
2,346,90.0,City Hotel,0,0,September,0
2,70,114.0,City Hotel,1,0,November,0
1,49,93.15,City Hotel,1,0,July,0
7,184,173.25,City Hotel,1,0,August,0
7,143,211.0,Resort Hotel,1,0,August,0
6,33,95.0,City Hotel,0,0,October,0
2,3,173.5,City Hotel,0,0,July,0
3,187,105.3,City Hotel,1,0,August,0
7,214,90.95,City Hotel,0,0,August,0
3,1,78.5,City Hotel,0,0,January,0
3,38,118.0,City Hotel,1,0,February,0
1,50,111.6,City Hotel,1,0,December,0
2,9,161.0,Resort Hotel,0,0,July,1
7,141,107.1,Resort Hotel,0,0,May,0
5,70,55.8,Resort Hotel,1,0,November,0
3,3,150.0,Resort Hotel,0,0,May,1
2,133,85.59,City Hotel,0,0,April,0
5,55,106.24,City Hotel,0,0,September,0
14,28,96.9,City Hotel,0,0,January,0
3,89,200.0,City Hotel,0,0,August,0
4,185,113.4,City Hotel,0,0,October,0
4,62,98.55,City Hotel,0,0,September,0
2,68,131.4,City Hotel,1,0,June,0
1,1,107.0,City Hotel,1,0,October,0
4,72,118.15,City Hotel,1,0,August,0
2,29,65.5,Resort Hotel,1,0,March,0
2,2,204.5,City Hotel,0,0,August,0
5,55,60.0,City Hotel,0,0,November,0
2,26,63.0,Resort Hotel,0,0,March,0
3,81,85.8,City Hotel,1,0,March,0
3,42,71.1,City Hotel,0,0,March,0
3,29,183.67,City Hotel,0,0,December,0
3,99,125.1,City Hotel,1,0,September,0
4,25,33.3,Resort Hotel,0,0,March,0
10,92,71.55,Resort Hotel,0,0,July,0
2,115,85.0,Resort Hotel,0,0,May,0
1,47,118.8,City Hotel,1,0,April,0
4,113,32.4,Resort Hotel,0,0,December,0
8,188,37.2,Resort Hotel,1,0,October,0
1,35,97.0,City Hotel,0,0,December,0
4,10,94.91,City Hotel,0,0,November,0
7,259,158.5,Resort Hotel,1,0,July,0
14,336,178.46,Resort Hotel,1,0,June,0
10,160,109.65,City Hotel,0,0,July,0
7,83,46.0,Resort Hotel,1,0,April,0
14,141,79.66,Resort Hotel,0,0,October,0
4,122,186.0,Resort Hotel,1,0,August,0
3,116,81.67,City Hotel,0,0,February,0
6,109,204.0,City Hotel,1,0,August,0
2,35,71.1,City Hotel,0,0,March,0
3,11,92.58,City Hotel,0,0,December,0
3,73,99.0,City Hotel,1,0,December,0
7,3,137.29,City Hotel,0,0,September,0
1,5,198.0,City Hotel,0,0,July,0
3,34,98.1,City Hotel,1,0,June,0
7,10,203.43,Resort Hotel,0,0,September,1
6,108,108.0,City Hotel,0,0,June,0
5,50,123.0,Resort Hotel,0,0,July,0
1,2,127.0,City Hotel,0,0,February,0
5,179,139.5,City Hotel,1,0,July,0
2,1,171.0,City Hotel,0,0,December,0
3,104,147.0,City Hotel,0,0,May,0
2,328,65.0,City Hotel,0,0,September,0
5,262,97.75,City Hotel,1,0,March,0
2,7,176.0,City Hotel,0,0,September,0
2,128,85.5,City Hotel,0,0,August,0
2,33,44.8,Resort Hotel,0,0,January,0
4,145,99.0,City Hotel,0,0,April,0
7,134,260.0,City Hotel,1,0,July,0
5,247,137.7,Resort Hotel,1,0,July,0
5,11,75.0,City Hotel,0,0,September,0
14,328,121.5,Resort Hotel,0,0,June,0
1,4,55.0,Resort Hotel,0,0,January,1
10,364,94.0,Resort Hotel,1,0,September,0
1,72,175.0,City Hotel,0,0,June,0
1,45,65.0,City Hotel,1,1,April,0
4,95,94.2,City Hotel,0,0,March,0
10,66,99.7,Resort Hotel,1,0,March,0
1,1,50.0,Resort Hotel,0,0,April,0
4,113,37.5,Resort Hotel,1,0,March,0
1,1,48.0,Resort Hotel,0,0,November,1
5,12,74.8,City Hotel,1,0,February,0
3,57,105.3,City Hotel,0,0,April,0
5,218,175.32,City Hotel,0,0,July,0
2,14,231.0,Resort Hotel,0,0,August,0
4,100,100.63,City Hotel,1,0,November,0
6,34,70.83,City Hotel,1,0,October,0
3,56,82.44,City Hotel,0,0,December,0
3,274,96.5,City Hotel,0,0,July,0
4,115,65.7,Resort Hotel,0,0,May,0
2,32,76.5,Resort Hotel,1,1,February,0
2,42,89.0,City Hotel,0,0,June,0
3,235,94.5,City Hotel,0,0,August,1
7,18,68.0,City Hotel,0,0,November,0
7,127,206.0,Resort Hotel,1,0,August,0
1,5,231.0,Resort Hotel,0,1,August,0
3,40,193.0,Resort Hotel,1,0,April,0
5,33,134.0,Resort Hotel,1,0,July,0
3,125,126.0,City Hotel,1,0,May,0
1,27,78.0,City Hotel,0,0,January,0
4,41,150.3,City Hotel,0,0,July,0
3,4,159.0,City Hotel,0,0,October,0
3,2,77.0,City Hotel,0,0,September,0
2,119,131.08,City Hotel,0,0,July,0
7,171,130.5,City Hotel,0,0,June,0
1,2,170.0,City Hotel,0,0,April,0
7,20,34.0,Resort Hotel,0,0,January,0
6,12,68.0,City Hotel,0,0,November,0
3,11,129.75,City Hotel,0,0,July,0
2,206,89.1,City Hotel,0,0,July,0
5,336,281.0,Resort Hotel,0,0,July,1
2,128,112.2,City Hotel,0,0,September,0
1,5,65.0,City Hotel,0,1,May,0
3,35,38.67,City Hotel,0,0,March,0
1,32,95.0,City Hotel,0,0,October,0
5,18,128.8,City Hotel,1,0,March,0
2,137,65.0,City Hotel,0,0,March,0
1,4,50.4,Resort Hotel,0,0,December,0
1,19,77.4,Resort Hotel,0,0,October,0
6,142,85.0,City Hotel,1,0,December,0
1,168,132.3,City Hotel,0,0,May,1
10,22,161.4,Resort Hotel,0,0,August,0
3,171,125.1,City Hotel,0,0,July,0
2,32,160.0,City Hotel,0,0,May,0
5,72,108.0,Resort Hotel,0,0,May,0
7,271,76.5,Resort Hotel,0,0,September,0
5,15,97.92,City Hotel,1,0,January,0
2,244,94.5,City Hotel,1,0,December,0
7,29,135.0,Resort Hotel,0,0,July,0
8,247,139.28,Resort Hotel,0,0,August,0
2,17,119.0,City Hotel,0,0,January,0
1,80,99.1,City Hotel,0,0,August,0
1,40,159.3,City Hotel,0,0,October,0
2,5,220.0,City Hotel,0,0,August,0
4,19,62.0,City Hotel,0,0,July,0
6,47,100.7,Resort Hotel,0,0,August,1
1,126,108.0,City Hotel,1,0,April,0
5,22,219.0,Resort Hotel,0,0,July,0
3,265,89.1,City Hotel,0,0,August,0
1,1,154.0,Resort Hotel,0,0,August,0
2,2,176.0,Resort Hotel,0,0,July,0
5,138,83.6,Resort Hotel,0,0,September,1
3,269,72.0,City Hotel,0,0,March,0
4,78,62.18,City Hotel,1,0,April,0
10,314,59.8,Resort Hotel,0,0,June,0
7,104,55.3,Resort Hotel,0,0,May,0
5,18,89.0,City Hotel,1,0,August,0
1,3,189.0,Resort Hotel,0,0,August,0
4,4,92.65,City Hotel,1,0,February,0
7,172,90.64,Resort Hotel,1,0,June,0
1,53,108.0,City Hotel,1,0,April,0
4,37,190.1,Resort Hotel,0,0,August,0
4,2,89.89,City Hotel,0,0,November,0
5,188,210.0,Resort Hotel,0,0,August,0
6,32,88.4,City Hotel,1,0,January,0
6,110,129.3,City Hotel,0,0,August,1
3,160,109.8,City Hotel,1,0,March,0
3,154,88.2,Resort Hotel,0,0,September,0
9,30,68.0,City Hotel,0,0,January,0
3,10,249.67,Resort Hotel,0,0,August,0
3,11,163.33,City Hotel,0,0,May,0
4,153,90.0,Resort Hotel,0,0,April,0
4,225,78.0,Resort Hotel,0,0,April,0
3,5,177.33,City Hotel,1,0,September,0
7,40,90.63,Resort Hotel,0,0,September,1
2,9,195.0,Resort Hotel,0,0,July,0
5,4,149.0,City Hotel,0,0,September,0
3,19,123.2,City Hotel,0,0,July,0
1,15,62.0,Resort Hotel,0,0,March,1
3,17,170.0,City Hotel,0,0,September,0
2,13,81.0,City Hotel,0,0,March,0
8,34,68.07,City Hotel,0,0,February,0
2,207,74.0,Resort Hotel,0,0,September,0
2,163,118.8,City Hotel,0,0,July,0
6,4,134.17,City Hotel,1,0,August,0
1,41,85.6,City Hotel,0,0,June,0
4,80,151.2,City Hotel,0,0,October,0
6,83,127.75,Resort Hotel,0,0,April,0
4,66,108.0,City Hotel,1,0,October,0
7,84,106.25,City Hotel,1,0,May,0
6,184,115.32,City Hotel,1,0,June,0
2,1,68.0,Resort Hotel,0,0,March,1
4,9,142.8,City Hotel,0,0,March,1
3,2,159.0,City Hotel,1,0,November,0
8,90,70.4,Resort Hotel,0,0,May,0
3,83,102.6,City Hotel,0,0,December,0
3,261,140.0,City Hotel,1,0,May,0
1,8,106.25,City Hotel,0,0,May,0
2,54,143.1,City Hotel,0,0,April,0
2,28,134.0,City Hotel,0,0,July,0
1,95,90.0,Resort Hotel,0,0,April,1
2,6,75.0,Resort Hotel,0,0,May,0
2,167,63.9,Resort Hotel,0,0,March,1
4,47,58.94,City Hotel,0,0,January,0
3,29,143.03,City Hotel,0,0,October,0
4,6,66.64,City Hotel,0,0,March,0
3,69,79.2,City Hotel,0,0,March,0
2,5,128.0,City Hotel,0,0,March,0
2,116,39.8,Resort Hotel,0,0,November,0
2,3,65.0,City Hotel,0,1,May,0
3,46,53.41,Resort Hotel,0,0,October,0
5,107,90.95,City Hotel,0,0,May,0
5,43,152.05,City Hotel,0,0,February,0
7,92,83.06,Resort Hotel,1,0,December,0
2,23,106.75,City Hotel,1,0,January,0
3,17,113.33,City Hotel,0,0,October,0
3,43,109.2,City Hotel,0,0,April,0
6,155,97.75,City Hotel,1,0,July,0
7,121,372.71,Resort Hotel,0,0,August,0
2,266,85.0,City Hotel,0,0,October,0
7,247,82.71,Resort Hotel,0,0,September,0
7,121,64.1,Resort Hotel,0,0,October,0
14,212,90.95,City Hotel,1,0,July,0
12,223,86.2,City Hotel,1,0,August,0
3,114,85.0,City Hotel,0,0,May,0
2,49,130.0,City Hotel,0,0,June,0
1,11,142.0,Resort Hotel,0,0,July,0
7,312,58.0,Resort Hotel,0,0,March,0
5,90,125.51,Resort Hotel,0,0,December,1
5,240,90.95,City Hotel,0,0,July,0
1,31,157.5,City Hotel,0,0,October,0
1,88,150.3,City Hotel,0,0,August,0
4,54,86.58,City Hotel,0,0,March,0
3,189,102.6,City Hotel,0,0,March,1
5,57,133.0,Resort Hotel,1,0,September,0
7,186,80.75,City Hotel,0,0,October,0
3,85,135.0,City Hotel,1,0,May,0
2,134,63.5,Resort Hotel,1,0,October,0
2,40,100.8,City Hotel,0,0,November,0
2,228,91.51,City Hotel,0,0,June,0
2,12,74.0,Resort Hotel,0,0,November,1
2,44,37.8,Resort Hotel,0,0,November,0
5,205,35.34,Resort Hotel,0,0,April,0
3,54,79.2,City Hotel,1,0,November,0
7,59,118.27,City Hotel,0,0,April,0
3,15,160.0,City Hotel,1,0,May,0
2,19,35.0,Resort Hotel,0,0,February,0
2,164,100.0,City Hotel,0,0,October,0
3,3,195.0,City Hotel,0,0,August,0
7,15,128.84,City Hotel,1,0,May,0
3,108,61.6,Resort Hotel,0,0,June,0
3,8,126.0,City Hotel,0,0,September,0
2,3,213.0,Resort Hotel,0,0,July,1
6,1,107.67,Resort Hotel,0,0,April,1
4,225,82.47,City Hotel,0,0,May,0
3,208,91.5,City Hotel,0,0,August,0
7,1,88.0,Resort Hotel,0,0,January,0
2,116,125.0,City Hotel,0,0,July,0
2,62,273.13,Resort Hotel,0,0,December,1
7,202,48.75,Resort Hotel,0,0,September,0
7,167,78.88,Resort Hotel,0,0,September,0
3,24,207.0,City Hotel,0,0,April,0
1,40,67.5,Resort Hotel,0,0,November,0
1,7,114.0,City Hotel,0,0,October,0
3,11,157.53,Resort Hotel,0,0,September,0
2,4,91.0,City Hotel,0,0,May,0
4,8,104.5,City Hotel,0,0,November,0
3,17,35.2,City Hotel,1,0,August,0
7,160,108.0,Resort Hotel,0,0,June,0
3,140,65.0,City Hotel,0,0,November,0
4,99,126.0,City Hotel,0,0,June,0
2,23,250.0,City Hotel,1,0,August,0
2,63,117.0,City Hotel,0,0,April,0
4,96,120.15,City Hotel,0,0,August,0
5,29,161.0,City Hotel,0,0,October,0
4,41,93.93,City Hotel,0,0,November,0
3,192,100.0,City Hotel,0,0,August,0
2,20,84.0,City Hotel,0,0,July,0
5,31,65.0,Resort Hotel,0,0,March,0
4,153,137.25,City Hotel,0,0,June,0
2,2,156.0,City Hotel,0,0,January,0
3,20,149.0,City Hotel,0,0,October,0
5,104,54.56,Resort Hotel,0,0,April,0
7,33,40.0,Resort Hotel,0,0,October,0
1,4,80.0,City Hotel,0,0,January,0
7,180,81.0,Resort Hotel,1,0,July,0
2,18,88.0,City Hotel,1,0,February,0
2,40,175.0,City Hotel,1,0,October,0
4,80,74.8,City Hotel,1,0,March,0
2,27,180.0,Resort Hotel,0,0,July,0
3,1,95.0,City Hotel,0,0,November,0
7,231,44.36,Resort Hotel,0,0,October,0
2,277,89.1,City Hotel,0,0,July,0
1,20,135.0,City Hotel,0,0,April,0
6,106,46.4,Resort Hotel,0,0,March,0
14,167,45.9,Resort Hotel,0,0,September,0
3,190,90.9,City Hotel,0,0,November,0
4,19,135.0,City Hotel,1,0,May,0
2,128,171.0,Resort Hotel,0,0,June,1
1,15,109.55,City Hotel,0,0,August,0
2,225,42.5,Resort Hotel,0,0,May,0
4,323,112.0,City Hotel,0,0,May,0
4,42,235.0,Resort Hotel,0,0,August,0
6,188,134.4,City Hotel,0,0,September,0
5,26,169.52,City Hotel,1,0,September,0
3,1,65.0,City Hotel,0,1,May,0
3,75,148.5,City Hotel,0,0,June,0
2,29,113.55,City Hotel,1,0,May,0
3,63,75.0,City Hotel,0,0,March,0
4,26,53.2,Resort Hotel,0,0,November,0
6,201,82.3,City Hotel,0,0,August,0
1,1,56.47,City Hotel,0,0,May,0
2,36,119.0,City Hotel,0,0,February,0
4,3,183.0,City Hotel,0,0,February,0
2,12,167.0,Resort Hotel,0,0,September,0
1,9,140.0,City Hotel,0,0,July,0
1,131,43.2,Resort Hotel,1,0,May,0
4,95,77.86,City Hotel,1,0,December,0
4,103,97.2,City Hotel,0,0,June,0
3,253,107.1,City Hotel,0,0,July,0
3,49,156.67,City Hotel,0,0,July,0
2,30,157.5,City Hotel,1,0,April,0
3,25,58.16,City Hotel,0,0,January,0
4,36,91.2,City Hotel,0,0,April,0
3,210,173.7,City Hotel,0,0,May,1
6,24,55.73,Resort Hotel,0,0,February,0
3,273,94.5,City Hotel,1,0,June,0
6,123,114.69,City Hotel,0,0,September,0
4,21,126.0,City Hotel,0,0,May,0
2,30,114.0,City Hotel,1,0,April,0
3,14,47.4,Resort Hotel,0,0,April,1
2,6,169.93,City Hotel,0,0,September,0
3,190,302.0,Resort Hotel,1,0,July,0
3,49,156.67,City Hotel,1,0,July,0
2,57,107.0,Resort Hotel,0,0,July,0
1,45,56.0,Resort Hotel,1,0,March,0
7,125,41.76,Resort Hotel,0,0,May,0
1,4,58.0,Resort Hotel,0,0,February,1
2,135,154.0,Resort Hotel,0,0,July,1
2,1,105.0,City Hotel,0,0,August,0
1,5,74.0,City Hotel,0,1,December,0
1,27,111.0,City Hotel,0,0,April,0
7,146,38.11,Resort Hotel,0,0,December,0
2,60,132.7,City Hotel,1,0,July,0
3,9,81.0,City Hotel,0,0,January,0
6,23,68.0,City Hotel,0,0,March,0
4,16,144.4,City Hotel,0,0,May,0
4,2,119.5,Resort Hotel,0,0,March,0
3,47,91.8,City Hotel,1,0,March,0
4,25,58.0,Resort Hotel,1,0,February,0
7,2,78.2,City Hotel,0,0,November,0
2,11,113.4,City Hotel,0,0,September,0
2,346,90.0,City Hotel,0,0,September,0
4,35,98.1,City Hotel,1,0,May,0
2,5,67.0,City Hotel,0,1,July,1
4,84,72.25,City Hotel,0,0,July,0
5,186,90.95,City Hotel,0,0,July,0
2,74,109.0,City Hotel,0,0,September,0
3,98,115.2,City Hotel,0,0,June,0
2,189,30.0,Resort Hotel,0,0,April,0
2,23,180.0,City Hotel,0,0,August,0
4,71,137.1,City Hotel,0,0,May,0
3,74,133.8,City Hotel,0,0,November,0
3,24,299.0,Resort Hotel,1,0,August,0
3,149,105.9,City Hotel,1,0,July,0
2,165,80.1,City Hotel,0,0,November,0
2,25,109.0,City Hotel,0,0,May,0
2,72,63.0,City Hotel,0,0,September,0
7,95,100.86,Resort Hotel,1,0,July,0
3,83,190.0,City Hotel,0,0,July,0
1,8,40.0,City Hotel,0,1,June,0
2,29,116.0,City Hotel,1,0,January,0
2,8,99.2,City Hotel,0,0,July,0
7,41,43.93,Resort Hotel,0,0,October,0
5,48,183.0,Resort Hotel,0,0,August,0
3,44,120.0,City Hotel,0,0,June,0
3,336,60.0,Resort Hotel,0,0,September,0
7,255,130.05,Resort Hotel,0,0,July,0
3,2,100.67,City Hotel,0,0,August,0
5,11,74.8,City Hotel,0,0,February,0
3,479,112.67,City Hotel,0,0,August,0
1,48,109.0,City Hotel,0,0,July,0
1,9,90.0,Resort Hotel,0,0,September,0
1,22,156.0,City Hotel,0,0,May,0
2,5,74.0,Resort Hotel,0,0,February,0
1,26,104.0,Resort Hotel,0,0,December,1
4,225,113.0,City Hotel,0,0,April,0
7,67,120.43,Resort Hotel,0,0,July,1
4,82,90.45,City Hotel,1,0,October,0
4,84,187.85,City Hotel,0,0,May,0
7,85,37.4,Resort Hotel,0,0,October,0
1,54,60.0,Resort Hotel,0,0,December,0
4,121,73.8,Resort Hotel,1,0,December,0
3,173,132.0,City Hotel,0,0,December,0
3,5,74.8,City Hotel,0,0,March,0
4,12,105.75,City Hotel,1,0,November,0
5,37,77.4,Resort Hotel,0,0,March,1
1,1,50.0,Resort Hotel,0,0,April,0
3,209,110.0,City Hotel,1,0,June,0
3,80,113.0,Resort Hotel,1,0,April,0
4,114,87.67,City Hotel,0,0,June,0
8,113,41.4,Resort Hotel,0,0,May,0
3,6,62.8,City Hotel,0,0,February,0
1,5,65.0,City Hotel,0,1,October,0
2,2,43.0,Resort Hotel,0,0,December,0
3,10,65.0,Resort Hotel,0,0,April,0
2,28,94.35,City Hotel,1,0,June,0
1,23,114.0,City Hotel,0,0,October,0
3,7,198.0,Resort Hotel,0,0,May,1
3,315,109.8,City Hotel,1,0,April,0
1,12,75.2,City Hotel,0,0,December,0
3,6,155.0,City Hotel,0,0,May,0
7,72,76.5,City Hotel,1,0,July,0
3,223,130.5,City Hotel,1,0,August,0
6,1,70.0,Resort Hotel,0,1,January,0
2,25,139.0,City Hotel,0,0,September,0
2,87,62.1,City Hotel,0,0,February,0
2,53,43.0,Resort Hotel,1,0,December,0
4,323,62.0,City Hotel,1,0,September,0
3,189,72.56,Resort Hotel,0,0,October,0
7,222,42.95,Resort Hotel,0,0,May,0
2,30,101.15,City Hotel,0,0,August,0
2,215,75.0,City Hotel,0,0,November,0
2,4,170.0,City Hotel,0,0,September,0
2,86,75.0,City Hotel,0,0,December,0
7,118,42.95,Resort Hotel,0,0,May,0
4,92,102.0,City Hotel,1,0,October,0
3,31,185.0,Resort Hotel,0,0,August,1
4,21,101.0,Resort Hotel,1,0,April,0
3,48,139.5,City Hotel,0,0,October,0
4,35,110.16,City Hotel,0,0,September,0
7,187,190.97,Resort Hotel,0,0,August,0
1,31,75.0,Resort Hotel,0,0,October,1
2,178,175.5,City Hotel,1,0,May,0
5,69,135.9,City Hotel,1,0,September,0
2,15,130.0,City Hotel,0,0,August,0
5,80,163.8,City Hotel,0,0,April,0
3,60,225.0,Resort Hotel,0,0,August,0
3,151,204.5,Resort Hotel,0,0,August,0
7,178,178.2,Resort Hotel,0,0,July,0
3,140,75.0,City Hotel,1,0,November,0
3,153,106.2,City Hotel,0,0,June,0
5,35,130.0,City Hotel,0,0,June,0
3,11,77.0,City Hotel,0,0,October,0
4,41,181.67,City Hotel,0,0,March,0
3,12,134.33,City Hotel,0,0,July,0
4,20,124.16,City Hotel,0,0,November,0
2,185,42.5,Resort Hotel,0,0,April,0
4,103,84.58,City Hotel,0,0,April,0
3,311,43.2,Resort Hotel,1,0,May,0
4,5,93.5,City Hotel,0,0,November,0
3,116,122.4,City Hotel,1,0,November,0
6,59,329.0,Resort Hotel,0,0,August,0
4,16,82.88,City Hotel,0,0,January,0
7,158,154.93,City Hotel,1,0,June,0
2,45,25.0,Resort Hotel,0,0,March,0
2,13,80.0,City Hotel,1,0,August,0
6,167,110.0,Resort Hotel,1,0,June,0
